"","geography","Level","date","N_ED_epic","N_RSV_ED_epic","N_flu_ED_epic","N_covid_ED_epic","pct_RSV_ED_epic","pct_flu_ED_epic","pct_covid_ED_epic","ED_epic_scale_RSV","ED_epic_scale_flu","ED_epic_scale_covid"
"1","Alabama","1-4 Years",2023-07-01,137,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Alabama","1-4 Years",2023-07-08,148,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Alabama","1-4 Years",2023-07-15,143,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Alabama","1-4 Years",2023-07-22,113,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Alabama","1-4 Years",2023-07-29,134,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Alabama","1-4 Years",2023-08-05,126,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Alabama","1-4 Years",2023-08-12,152,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Alabama","1-4 Years",2023-08-19,153,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Alabama","1-4 Years",2023-08-26,167,NA,NA,12,NA,NA,NA,NA,NA,NA
"10","Alabama","1-4 Years",2023-09-02,158,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","Alabama","1-4 Years",2023-09-09,145,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","Alabama","1-4 Years",2023-09-16,149,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","Alabama","1-4 Years",2023-09-23,175,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","Alabama","1-4 Years",2023-09-30,158,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","Alabama","1-4 Years",2023-10-07,180,11,NA,NA,NA,NA,NA,NA,NA,NA
"16","Alabama","1-4 Years",2023-10-14,128,11,NA,NA,NA,NA,NA,NA,NA,NA
"17","Alabama","1-4 Years",2023-10-21,171,13,NA,NA,7.43573343079922,NA,NA,40.3098877480134,NA,NA
"18","Alabama","1-4 Years",2023-10-28,193,24,NA,NA,9.54377411396944,NA,NA,51.7377965209216,NA,NA
"19","Alabama","1-4 Years",2023-11-04,207,23,13,NA,10.3828944843398,NA,NA,56.2867557125726,NA,NA
"20","Alabama","1-4 Years",2023-11-11,220,22,21,NA,11.1821147572443,NA,NA,60.6194123074519,NA,NA
"21","Alabama","1-4 Years",2023-11-18,209,29,20,NA,11.6622363990785,8.46500859086671,NA,63.222201886697,38.2207311477918,NA
"22","Alabama","1-4 Years",2023-11-25,228,25,23,NA,11.6135034556087,9.73418394471026,NA,62.9580155089605,43.951240391574,NA
"23","Alabama","1-4 Years",2023-12-02,172,11,20,NA,10.4119530680118,10.4283347551401,NA,56.4442853304424,47.0854311270787,NA
"24","Alabama","1-4 Years",2023-12-09,196,18,41,NA,8.84797819576627,14.2113312073095,NA,47.9658141577398,64.1662041445355,NA
"25","Alabama","1-4 Years",2023-12-16,182,NA,39,NA,NA,17.9916152507515,NA,NA,81.2347302465141,NA
"26","Alabama","1-4 Years",2023-12-23,226,NA,54,NA,NA,22.0802480284149,NA,NA,99.6954952273944,NA
"27","Alabama","1-4 Years",2023-12-30,232,NA,49,NA,NA,22.1476887978261,NA,NA,100,NA
"28","Alabama","1-4 Years",2024-01-06,169,NA,27,NA,NA,20.3302754419512,NA,NA,91.7941173344765,NA
"29","Alabama","1-4 Years",2024-01-13,122,NA,23,NA,NA,18.6498266775042,NA,NA,84.2066494962434,NA
"30","Alabama","1-4 Years",2024-01-20,123,NA,15,NA,NA,15.6746374428532,NA,NA,70.7732422373199,NA
"31","Alabama","1-4 Years",2024-01-27,147,NA,14,NA,NA,13.5237968304742,NA,NA,61.0618875582249,NA
"32","Alabama","1-4 Years",2024-02-03,154,NA,13,14,NA,10.0534966388625,NA,NA,45.3929831262993,NA
"33","Alabama","1-4 Years",2024-02-10,137,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","Alabama","1-4 Years",2024-02-17,146,NA,11,NA,NA,NA,NA,NA,NA,NA
"35","Alabama","1-4 Years",2024-02-24,138,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","Alabama","1-4 Years",2024-03-02,152,NA,11,NA,NA,NA,NA,NA,NA,NA
"37","Alabama","1-4 Years",2024-03-09,144,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","Alabama","1-4 Years",2024-03-16,135,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","Alabama","1-4 Years",2024-03-23,147,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","Alabama","1-4 Years",2024-03-30,156,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","Alabama","1-4 Years",2024-04-06,134,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","Alabama","1-4 Years",2024-04-13,131,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","Alabama","1-4 Years",2024-04-20,153,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","Alabama","1-4 Years",2024-04-27,173,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","Alabama","1-4 Years",2024-05-04,149,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","Alabama","1-4 Years",2024-05-11,164,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","Alabama","1-4 Years",2024-05-18,150,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","Alabama","1-4 Years",2024-05-25,144,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","Alabama","1-4 Years",2024-06-01,158,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","Alabama","1-4 Years",2024-06-08,132,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","Alabama","1-4 Years",2024-06-15,148,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","Alabama","1-4 Years",2024-06-22,140,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","Alabama","1-4 Years",2024-06-29,123,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","Alabama","1-4 Years",2024-07-06,150,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","Alabama","1-4 Years",2024-07-13,130,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","Alabama","1-4 Years",2024-07-20,136,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","Alabama","1-4 Years",2024-07-27,117,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","Alabama","1-4 Years",2024-08-03,123,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","Alabama","1-4 Years",2024-08-10,133,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","Alabama","1-4 Years",2024-08-17,142,NA,NA,16,NA,NA,NA,NA,NA,NA
"61","Alabama","1-4 Years",2024-08-24,168,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","Alabama","1-4 Years",2024-08-31,152,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","Alabama","1-4 Years",2024-09-07,161,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","Alabama","1-4 Years",2024-09-14,137,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","Alabama","1-4 Years",2024-09-21,151,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","Alabama","1-4 Years",2024-09-28,138,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","Alabama","1-4 Years",2024-10-05,172,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","Alabama","1-4 Years",2024-10-12,152,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","Alabama","1-4 Years",2024-10-19,158,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","Alabama","1-4 Years",2024-10-26,166,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","Alabama","1-4 Years",2024-11-02,152,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","Alabama","1-4 Years",2024-11-09,183,13,NA,NA,NA,NA,NA,NA,NA,NA
"73","Alabama","1-4 Years",2024-11-16,203,22,NA,NA,NA,NA,NA,NA,NA,NA
"74","Alabama","1-4 Years",2024-11-23,159,23,NA,NA,10.8022241217629,NA,NA,58.5599854848944,NA,NA
"75","Alabama","1-4 Years",2024-11-30,215,25,NA,NA,12.310251401807,NA,NA,66.7351589153631,NA,NA
"76","Alabama","1-4 Years",2024-12-07,188,22,NA,NA,12.5984811471167,NA,NA,68.2976824763811,NA,NA
"77","Alabama","1-4 Years",2024-12-14,177,28,NA,NA,13.0497478919556,NA,NA,70.7440466445101,NA,NA
"78","Alabama","1-4 Years",2024-12-21,225,47,12,NA,16.1367418626705,NA,NA,87.4789634615775,NA,NA
"79","Alabama","1-4 Years",2024-12-28,263,49,40,NA,18.4464255452204,NA,NA,100,NA,NA
"80","Alabama","1-4 Years",2025-01-04,209,32,29,NA,18.2770241269341,11.472685631581,NA,99.0816572139081,51.8008255231898,NA
"81","Alabama","1-4 Years",2025-01-11,175,13,25,NA,13.7902516401616,14.456812615708,NA,74.7583948248159,65.2745880063429,NA
"82","Alabama","1-4 Years",2025-01-18,167,NA,38,NA,NA,16.9719344632676,NA,NA,76.6307248498699,NA
"83","Alabama","1-4 Years",2025-01-25,91,NA,26,NA,NA,21.8705446250356,NA,NA,98.7486542035137,NA
"84","Alaska","1-4 Years",2023-07-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","Alaska","1-4 Years",2023-07-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","Alaska","1-4 Years",2023-07-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","Alaska","1-4 Years",2023-07-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","Alaska","1-4 Years",2023-07-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","Alaska","1-4 Years",2023-08-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","Alaska","1-4 Years",2023-08-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","Alaska","1-4 Years",2023-08-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","Alaska","1-4 Years",2023-08-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","Alaska","1-4 Years",2023-09-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94","Alaska","1-4 Years",2023-09-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95","Alaska","1-4 Years",2023-09-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96","Alaska","1-4 Years",2023-09-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97","Alaska","1-4 Years",2023-09-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98","Alaska","1-4 Years",2023-10-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99","Alaska","1-4 Years",2023-10-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100","Alaska","1-4 Years",2023-10-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101","Alaska","1-4 Years",2023-10-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102","Alaska","1-4 Years",2023-11-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103","Alaska","1-4 Years",2023-11-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104","Alaska","1-4 Years",2023-11-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105","Alaska","1-4 Years",2023-11-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106","Alaska","1-4 Years",2023-12-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107","Alaska","1-4 Years",2023-12-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108","Alaska","1-4 Years",2023-12-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109","Alaska","1-4 Years",2023-12-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110","Alaska","1-4 Years",2023-12-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"111","Alaska","1-4 Years",2024-01-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"112","Alaska","1-4 Years",2024-01-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"113","Alaska","1-4 Years",2024-01-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"114","Alaska","1-4 Years",2024-01-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115","Alaska","1-4 Years",2024-02-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116","Alaska","1-4 Years",2024-02-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"117","Alaska","1-4 Years",2024-02-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"118","Alaska","1-4 Years",2024-02-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"119","Alaska","1-4 Years",2024-03-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"120","Alaska","1-4 Years",2024-03-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"121","Alaska","1-4 Years",2024-03-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"122","Alaska","1-4 Years",2024-03-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123","Alaska","1-4 Years",2024-03-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"124","Alaska","1-4 Years",2024-04-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125","Alaska","1-4 Years",2024-04-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"126","Alaska","1-4 Years",2024-04-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"127","Alaska","1-4 Years",2024-04-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"128","Alaska","1-4 Years",2024-05-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"129","Alaska","1-4 Years",2024-05-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"130","Alaska","1-4 Years",2024-05-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"131","Alaska","1-4 Years",2024-05-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"132","Alaska","1-4 Years",2024-06-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"133","Alaska","1-4 Years",2024-06-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"134","Alaska","1-4 Years",2024-06-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"135","Alaska","1-4 Years",2024-06-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"136","Alaska","1-4 Years",2024-06-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"137","Alaska","1-4 Years",2024-07-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"138","Alaska","1-4 Years",2024-07-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"139","Alaska","1-4 Years",2024-07-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"140","Alaska","1-4 Years",2024-07-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"141","Alaska","1-4 Years",2024-08-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"142","Alaska","1-4 Years",2024-08-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"143","Alaska","1-4 Years",2024-08-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"144","Alaska","1-4 Years",2024-08-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"145","Alaska","1-4 Years",2024-08-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"146","Alaska","1-4 Years",2024-09-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"147","Alaska","1-4 Years",2024-09-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"148","Alaska","1-4 Years",2024-09-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"149","Alaska","1-4 Years",2024-09-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"150","Alaska","1-4 Years",2024-10-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"151","Alaska","1-4 Years",2024-10-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"152","Alaska","1-4 Years",2024-10-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"153","Alaska","1-4 Years",2024-10-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"154","Alaska","1-4 Years",2024-11-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"155","Alaska","1-4 Years",2024-11-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"156","Alaska","1-4 Years",2024-11-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"157","Alaska","1-4 Years",2024-11-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"158","Alaska","1-4 Years",2024-11-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"159","Alaska","1-4 Years",2024-12-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"160","Alaska","1-4 Years",2024-12-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"161","Alaska","1-4 Years",2024-12-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"162","Alaska","1-4 Years",2024-12-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"163","Alaska","1-4 Years",2025-01-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"164","Alaska","1-4 Years",2025-01-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"165","Alaska","1-4 Years",2025-01-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"166","Alaska","1-4 Years",2025-01-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"167","Arizona","1-4 Years",2023-07-01,267,NA,NA,NA,NA,NA,NA,NA,NA,NA
"168","Arizona","1-4 Years",2023-07-08,245,NA,NA,NA,NA,NA,NA,NA,NA,NA
"169","Arizona","1-4 Years",2023-07-15,251,NA,NA,NA,NA,NA,NA,NA,NA,NA
"170","Arizona","1-4 Years",2023-07-22,230,NA,NA,NA,NA,NA,NA,NA,NA,NA
"171","Arizona","1-4 Years",2023-07-29,227,NA,NA,NA,NA,NA,NA,NA,NA,NA
"172","Arizona","1-4 Years",2023-08-05,221,NA,NA,NA,NA,NA,NA,NA,NA,NA
"173","Arizona","1-4 Years",2023-08-12,262,NA,NA,NA,NA,NA,NA,NA,NA,NA
"174","Arizona","1-4 Years",2023-08-19,255,NA,NA,NA,NA,NA,NA,NA,NA,NA
"175","Arizona","1-4 Years",2023-08-26,263,NA,NA,NA,NA,NA,NA,NA,NA,NA
"176","Arizona","1-4 Years",2023-09-02,287,NA,NA,NA,NA,NA,NA,NA,NA,NA
"177","Arizona","1-4 Years",2023-09-09,276,NA,NA,NA,NA,NA,NA,NA,NA,NA
"178","Arizona","1-4 Years",2023-09-16,287,NA,NA,NA,NA,NA,NA,NA,NA,NA
"179","Arizona","1-4 Years",2023-09-23,235,NA,NA,NA,NA,NA,NA,NA,NA,NA
"180","Arizona","1-4 Years",2023-09-30,283,NA,NA,NA,NA,NA,NA,NA,NA,NA
"181","Arizona","1-4 Years",2023-10-07,300,NA,NA,NA,NA,NA,NA,NA,NA,NA
"182","Arizona","1-4 Years",2023-10-14,309,NA,NA,NA,NA,NA,NA,NA,NA,NA
"183","Arizona","1-4 Years",2023-10-21,261,NA,NA,NA,NA,NA,NA,NA,NA,NA
"184","Arizona","1-4 Years",2023-10-28,299,NA,NA,NA,NA,NA,NA,NA,NA,NA
"185","Arizona","1-4 Years",2023-11-04,292,NA,NA,NA,NA,NA,NA,NA,NA,NA
"186","Arizona","1-4 Years",2023-11-11,367,NA,15,NA,NA,NA,NA,NA,NA,NA
"187","Arizona","1-4 Years",2023-11-18,355,NA,NA,12,NA,NA,NA,NA,NA,NA
"188","Arizona","1-4 Years",2023-11-25,372,12,19,NA,NA,NA,NA,NA,NA,NA
"189","Arizona","1-4 Years",2023-12-02,357,14,13,NA,NA,NA,NA,NA,NA,NA
"190","Arizona","1-4 Years",2023-12-09,353,17,NA,NA,3.98774636724226,NA,NA,70.3102512210151,NA,NA
"191","Arizona","1-4 Years",2023-12-16,395,21,26,NA,4.68462944877213,NA,NA,82.5973979002874,NA,NA
"192","Arizona","1-4 Years",2023-12-23,488,24,54,11,5.01678416858356,NA,NA,88.453808926332,NA,NA
"193","Arizona","1-4 Years",2023-12-30,489,33,55,NA,5.6609849135855,9.63176533809522,NA,99.8120830106426,68.2083854921489,NA
"194","Arizona","1-4 Years",2024-01-06,404,20,35,NA,5.53899803135297,10.3254612899689,NA,97.6612620843436,73.1208682239074,NA
"195","Arizona","1-4 Years",2024-01-13,322,17,21,NA,5.65948813758791,8.81084974328321,NA,99.7856924916075,62.3949831321484,NA
"196","Arizona","1-4 Years",2024-01-20,341,17,23,NA,5.07177846616559,7.30999116741969,NA,89.4234450372139,51.7664911871877,NA
"197","Arizona","1-4 Years",2024-01-27,332,17,23,NA,5.12844075890089,6.73143933633296,NA,90.4224905306043,47.6694139706288,NA
"198","Arizona","1-4 Years",2024-02-03,335,14,16,NA,4.76164121624151,6.14956609384973,NA,83.9552366942053,43.548815820891,NA
"199","Arizona","1-4 Years",2024-02-10,347,17,14,NA,4.73290728400289,5.24613745964114,NA,83.4486121980083,37.1510884693927,NA
"200","Arizona","1-4 Years",2024-02-17,339,12,NA,NA,4.20602097771579,NA,NA,74.1587764992606,NA,NA
"201","Arizona","1-4 Years",2024-02-24,346,NA,15,NA,NA,NA,NA,NA,NA,NA
"202","Arizona","1-4 Years",2024-03-02,351,NA,15,NA,NA,NA,NA,NA,NA,NA
"203","Arizona","1-4 Years",2024-03-09,325,NA,NA,NA,NA,NA,NA,NA,NA,NA
"204","Arizona","1-4 Years",2024-03-16,339,NA,11,NA,NA,NA,NA,NA,NA,NA
"205","Arizona","1-4 Years",2024-03-23,321,NA,NA,NA,NA,NA,NA,NA,NA,NA
"206","Arizona","1-4 Years",2024-03-30,316,NA,NA,NA,NA,NA,NA,NA,NA,NA
"207","Arizona","1-4 Years",2024-04-06,322,NA,NA,NA,NA,NA,NA,NA,NA,NA
"208","Arizona","1-4 Years",2024-04-13,350,NA,NA,NA,NA,NA,NA,NA,NA,NA
"209","Arizona","1-4 Years",2024-04-20,359,NA,NA,NA,NA,NA,NA,NA,NA,NA
"210","Arizona","1-4 Years",2024-04-27,365,NA,NA,NA,NA,NA,NA,NA,NA,NA
"211","Arizona","1-4 Years",2024-05-04,356,NA,NA,NA,NA,NA,NA,NA,NA,NA
"212","Arizona","1-4 Years",2024-05-11,352,NA,NA,NA,NA,NA,NA,NA,NA,NA
"213","Arizona","1-4 Years",2024-05-18,379,NA,NA,NA,NA,NA,NA,NA,NA,NA
"214","Arizona","1-4 Years",2024-05-25,354,NA,NA,NA,NA,NA,NA,NA,NA,NA
"215","Arizona","1-4 Years",2024-06-01,388,NA,NA,NA,NA,NA,NA,NA,NA,NA
"216","Arizona","1-4 Years",2024-06-08,320,NA,NA,NA,NA,NA,NA,NA,NA,NA
"217","Arizona","1-4 Years",2024-06-15,278,NA,NA,NA,NA,NA,NA,NA,NA,NA
"218","Arizona","1-4 Years",2024-06-22,313,NA,NA,NA,NA,NA,NA,NA,NA,NA
"219","Arizona","1-4 Years",2024-06-29,291,NA,NA,NA,NA,NA,NA,NA,NA,NA
"220","Arizona","1-4 Years",2024-07-06,262,NA,NA,NA,NA,NA,NA,NA,NA,NA
"221","Arizona","1-4 Years",2024-07-13,261,NA,NA,NA,NA,NA,NA,NA,NA,NA
"222","Arizona","1-4 Years",2024-07-20,243,NA,NA,NA,NA,NA,NA,NA,NA,NA
"223","Arizona","1-4 Years",2024-07-27,250,NA,NA,NA,NA,NA,NA,NA,NA,NA
"224","Arizona","1-4 Years",2024-08-03,223,NA,NA,NA,NA,NA,NA,NA,NA,NA
"225","Arizona","1-4 Years",2024-08-10,244,NA,NA,NA,NA,NA,NA,NA,NA,NA
"226","Arizona","1-4 Years",2024-08-17,254,NA,NA,NA,NA,NA,NA,NA,NA,NA
"227","Arizona","1-4 Years",2024-08-24,270,NA,NA,NA,NA,NA,NA,NA,NA,NA
"228","Arizona","1-4 Years",2024-08-31,278,NA,NA,NA,NA,NA,NA,NA,NA,NA
"229","Arizona","1-4 Years",2024-09-07,245,NA,NA,NA,NA,NA,NA,NA,NA,NA
"230","Arizona","1-4 Years",2024-09-14,208,NA,NA,NA,NA,NA,NA,NA,NA,NA
"231","Arizona","1-4 Years",2024-09-21,230,NA,NA,NA,NA,NA,NA,NA,NA,NA
"232","Arizona","1-4 Years",2024-09-28,224,NA,NA,NA,NA,NA,NA,NA,NA,NA
"233","Arizona","1-4 Years",2024-10-05,244,NA,NA,NA,NA,NA,NA,NA,NA,NA
"234","Arizona","1-4 Years",2024-10-12,268,NA,NA,NA,NA,NA,NA,NA,NA,NA
"235","Arizona","1-4 Years",2024-10-19,264,NA,NA,NA,NA,NA,NA,NA,NA,NA
"236","Arizona","1-4 Years",2024-10-26,275,NA,NA,NA,NA,NA,NA,NA,NA,NA
"237","Arizona","1-4 Years",2024-11-02,307,NA,NA,NA,NA,NA,NA,NA,NA,NA
"238","Arizona","1-4 Years",2024-11-09,305,NA,NA,NA,NA,NA,NA,NA,NA,NA
"239","Arizona","1-4 Years",2024-11-16,279,NA,NA,NA,NA,NA,NA,NA,NA,NA
"240","Arizona","1-4 Years",2024-11-23,303,NA,11,NA,NA,NA,NA,NA,NA,NA
"241","Arizona","1-4 Years",2024-11-30,379,NA,24,NA,NA,NA,NA,NA,NA,NA
"242","Arizona","1-4 Years",2024-12-07,367,NA,18,NA,NA,4.9558163382499,NA,NA,35.0951481231257,NA
"243","Arizona","1-4 Years",2024-12-14,402,NA,39,11,NA,6.97952617191984,NA,NA,49.4262676649675,NA
"244","Arizona","1-4 Years",2024-12-21,411,15,40,NA,NA,8.11282826240853,NA,NA,57.4518687000524,NA
"245","Arizona","1-4 Years",2024-12-28,595,30,95,NA,NA,11.800079729753,NA,NA,83.5635378139573,NA
"246","Arizona","1-4 Years",2025-01-04,478,30,63,NA,4.98926749027803,12.9595543233124,NA,87.9686465347813,91.774482253504,NA
"247","Arizona","1-4 Years",2025-01-11,401,18,53,NA,5.26898182973353,14.1210868261995,NA,92.9004510343831,100,NA
"248","Arizona","1-4 Years",2025-01-18,384,24,36,NA,5.6716428941593,11.9239579746589,NA,100,84.4407949715019,NA
"249","Arizona","1-4 Years",2025-01-25,245,NA,23,NA,NA,10.6599042360086,NA,NA,75.4892620320895,NA
"250","Arkansas","1-4 Years",2023-07-01,656,NA,NA,NA,NA,NA,NA,NA,NA,NA
"251","Arkansas","1-4 Years",2023-07-08,710,NA,NA,NA,NA,NA,NA,NA,NA,NA
"252","Arkansas","1-4 Years",2023-07-15,634,NA,NA,NA,NA,NA,NA,NA,NA,NA
"253","Arkansas","1-4 Years",2023-07-22,631,NA,NA,NA,NA,NA,NA,NA,NA,NA
"254","Arkansas","1-4 Years",2023-07-29,658,NA,NA,12,NA,NA,NA,NA,NA,NA
"255","Arkansas","1-4 Years",2023-08-05,666,NA,NA,15,NA,NA,NA,NA,NA,NA
"256","Arkansas","1-4 Years",2023-08-12,634,NA,NA,28,NA,NA,2.83078808147605,NA,NA,49.5218924535694
"257","Arkansas","1-4 Years",2023-08-19,650,NA,NA,29,NA,NA,3.71006483309322,NA,NA,64.9039865832738
"258","Arkansas","1-4 Years",2023-08-26,778,NA,NA,43,NA,NA,4.80164484498172,NA,NA,84.0001203797046
"259","Arkansas","1-4 Years",2023-09-02,778,NA,NA,37,NA,NA,4.91477160371762,NA,NA,85.9791633241057
